Unnamed: 0,team,task,task_type,score,incorrect,correct,time_till_correct,novice,year,precision
157,Voxento,LSC22-AD09,AD,18.50328947368421,4,30,29.616,False,2022,0.8823529411764706
158,vitrivr,LSC22-AD09,AD,6.265664160401003,1,10,93.94,False,2022,0.9090909090909091
159,lifeXplore,LSC22-AD09,AD,14.68515037593985,6,25,77.595,False,2022,0.8064516129032258
160,vitrivr-VR,LSC22-AD09,AD,7.173174872665536,5,13,27.839,False,2022,0.7222222222222222
161,MEMORIA,LSC22-AD09,AD,1.0526315789473684,1,2,148.086,False,2022,0.6666666666666666
162,MyScéal,LSC220KIS10,KIS,70.20166666666667,0,1,178.79,False,2022,1.0
163,LifeSeeker,LSC220KIS10,KIS,66.38733333333333,1,1,200.476,False,2022,0.5
164,MEMENTO,LSC220KIS10,KIS,72.6155,1,1,163.107,False,2022,0.5
165,FIRST,LSC220KIS10,KIS,54.748666666666665,0,1,271.508,False,2022,1.0
166,Voxento,LSC220KIS10,KIS,0.0,2,0,,False,2022,0.0
167,vitrivr,LSC220KIS10,KIS,70.74783333333333,0,1,175.513,False,2022,1.0
168,lifeXplore,LSC220KIS10,KIS,0.0,1,0,,False,2022,0.0
169,vitrivr-VR,LSC220KIS10,KIS,0.0,0,0,,False,2022,0.0
170,MEMORIA,LSC220KIS10,KIS,0.0,0,0,,False,2022,0.0
171,MyScéal,LSC22-QA08,QA,91.53138888888888,0,1,30.487,False,2022,1.0
172,LifeSeeker,LSC22-QA08,QA,85.86861111111111,0,1,50.873,False,2022,1.0
173,MEMENTO,LSC22-QA08,QA,90.74055555555556,0,1,33.334,False,2022,1.0
174,FIRST,LSC22-QA08,QA,87.92833333333333,0,1,43.458,False,2022,1.0
175,Voxento,LSC22-QA08,QA,94.26527777777778,0,1,20.645,False,2022,1.0
176,vitrivr,LSC22-QA08,QA,88.30138888888888,0,1,42.115,False,2022,1.0
177,lifeXplore,LSC22-QA08,QA,52.57833333333334,0,1,170.718,False,2022,1.0
178,vitrivr-VR,LSC22-QA08,QA,60.42083333333333,0,1,142.485,False,2022,1.0
179,MEMORIA,LSC22-QA08,QA,72.71777777777778,0,1,98.216,False,2022,1.0
180,MyScéal,LSC22-AD10,AD,44.62817233916979,16,213,12.42,False,2022,0.9301310043668122
181,LifeSeeker,LSC22-AD10,AD,34.14158305462653,40,175,44.747,False,2022,0.813953488372093
182,MEMENTO,LSC22-AD10,AD,19.546129374337223,13,96,30.39,False,2022,0.8807339449541285
183,FIRST,LSC22-AD10,AD,30.799578843057105,256,223,25.163,False,2022,0.46555323590814196
184,Voxento,LSC22-AD10,AD,15.434782608695652,0,71,21.636,False,2022,1.0
185,vitrivr,LSC22-AD10,AD,12.248520710059172,31,69,56.626,False,2022,0.69
186,lifeXplore,LSC22-AD10,AD,30.552816375317494,5,143,21.328,False,2022,0.9662162162162162
187,vitrivr-VR,LSC22-AD10,AD,7.147690746066655,127,65,32.354,False,2022,0.3385416666666667
188,MEMORIA,LSC22-AD10,AD,1.4202898550724636,1,7,118.112,False,2022,0.875
189,MyScéal,LSC22-KIS11,KIS,88.13366666666667,0,1,71.198,False,2022,1.0
190,LifeSeeker,LSC22-KIS11,KIS,60.5865,1,1,235.281,False,2022,0.5
191,MEMENTO,LSC22-KIS11,KIS,70.82883333333334,1,1,173.827,False,2022,0.5
192,FIRST,LSC22-KIS11,KIS,81.03316666666666,0,1,113.801,False,2022,1.0
193,Voxento,LSC22-KIS11,KIS,71.04866666666666,0,1,173.708,False,2022,1.0
194,vitrivr,LSC22-KIS11,KIS,78.67383333333333,0,1,127.957,False,2022,1.0
195,lifeXplore,LSC22-KIS11,KIS,0.0,4,0,,False,2022,0.0
196,vitrivr-VR,LSC22-KIS11,KIS,84.11500000000001,0,1,95.31,False,2022,1.0
197,MEMORIA,LSC22-KIS11,KIS,0.0,1,0,,False,2022,0.0
198,MyScéal,LSC22-KIS08,KIS,85.8375,0,1,84.975,False,2022,1.0
199,LifeSeeker,LSC22-KIS08,KIS,93.40283333333332,0,1,39.583,False,2022,1.0
200,MEMENTO,LSC22-KIS08,KIS,56.9585,1,1,257.049,False,2022,0.5
201,FIRST,LSC22-KIS08,KIS,79.06916666666666,0,1,125.585,False,2022,1.0
202,Voxento,LSC22-KIS08,KIS,87.624,0,1,74.256,False,2022,1.0
203,vitrivr,LSC22-KIS08,KIS,85.09583333333333,1,1,88.225,False,2022,0.5
204,lifeXplore,LSC22-KIS08,KIS,84.96983333333333,0,1,90.181,False,2022,1.0
205,vitrivr-VR,LSC22-KIS08,KIS,70.298,0,1,178.212,False,2022,1.0
206,MEMORIA,LSC22-KIS08,KIS,0.0,0,0,,False,2022,0.0
207,MyScéal,LSC22-QA12,QA,91.45,0,1,30.78,False,2022,1.0
208,LifeSeeker,LSC22-QA12,QA,93.57305555555556,0,1,23.137,False,2022,1.0
209,MEMENTO,LSC22-QA12,QA,92.5375,0,1,26.865,False,2022,1.0
210,FIRST,LSC22-QA12,QA,86.58388888888888,0,1,48.298,False,2022,1.0
211,Voxento,LSC22-QA12,QA,94.53305555555556,0,1,19.681,False,2022,1.0
212,vitrivr,LSC22-QA12,QA,82.44972222222222,0,1,63.181,False,2022,1.0
213,lifeXplore,LSC22-QA12,QA,90.91194444444446,0,1,32.717,False,2022,1.0
214,vitrivr-VR,LSC22-QA12,QA,85.43166666666667,0,1,52.446,False,2022,1.0
215,MEMORIA,LSC22-QA12,QA,64.75444444444445,0,1,126.884,False,2022,1.0
216,MyScéal,LSC22-QA09,QA,96.42138888888888,0,1,12.883,False,2022,1.0
217,LifeSeeker,LSC22-QA09,QA,95.13555555555556,0,1,17.512,False,2022,1.0
218,MEMENTO,LSC22-QA09,QA,93.37694444444443,0,1,23.843,False,2022,1.0
219,FIRST,LSC22-QA09,QA,90.23666666666666,0,1,35.148,False,2022,1.0
220,Voxento,LSC22-QA09,QA,93.83888888888887,0,1,22.18,False,2022,1.0
221,vitrivr,LSC22-QA09,QA,85.05666666666667,0,1,53.796,False,2022,1.0
222,lifeXplore,LSC22-QA09,QA,75.42750000000001,0,1,88.461,False,2022,1.0
223,vitrivr-VR,LSC22-QA09,QA,93.30888888888887,0,1,24.088,False,2022,1.0
224,MEMORIA,LSC22-QA09,QA,0.0,0,0,,False,2022,0.0
0,MyEachtra,LSC23-KIS01,KIS,96.39716666666666,0,1,21.617,False,2023,1.0
1,Memento,LSC23-KIS01,KIS,94.24966666666666,0,1,34.502,False,2023,1.0
2,e-LifeSeeker,LSC23-KIS01,KIS,92.09416666666668,0,1,47.435,False,2023,1.0
3,LifeInsight,LSC23-KIS01,KIS,95.62233333333332,0,1,26.266,False,2023,1.0
4,lifeXplore,LSC23-KIS01,KIS,89.92066666666666,0,1,60.476,False,2023,1.0
5,2022 Baseline,LSC23-KIS01,KIS,96.63016666666668,0,1,20.219,False,2023,1.0
6,MemoriEase,LSC23-KIS01,KIS,95.979,0,1,24.126,False,2023,1.0
7,First,LSC23-KIS01,KIS,93.55933333333334,0,1,38.644,False,2023,1.0
8,LifeGraph,LSC23-KIS01,KIS,90.78933333333332,0,1,55.264,False,2023,1.0
9,LifeLens,LSC23-KIS01,KIS,94.71983333333333,0,1,31.681,False,2023,1.0
10,Vitrivr-Hybrid,LSC23-KIS01,KIS,96.30216666666666,0,1,22.187,False,2023,1.0
11,Memoria,LSC23-KIS01,KIS,90.461,0,1,57.234,False,2023,1.0
12,Voxento,LSC23-KIS01,KIS,96.13,0,1,23.22,False,2023,1.0
13,Memoria-MEO4J,LSC23-KIS01,KIS,91.32566666666666,0,1,52.046,False,2023,1.0
